"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 11:04:13 BDT 2024","Mon Jan 29 11:04:13 BDT 2024","157","All Test Suite","Page Navigation Test","Test_Cases.Test_FollowingPage","Test_Cases.Test_FollowingPage","validateFollowingPageNavigation","validateFollowingPageNavigation",""
"passed","Mon Jan 29 11:03:11 BDT 2024","Mon Jan 29 11:03:16 BDT 2024","5103","All Test Suite","Page Navigation Test","Test_Cases.Test_SportsTab","Test_Cases.Test_SportsTab","verifyingSportsTabIsSelected","verifyingSportsTabIsSelected",""
"passed","Mon Jan 29 11:08:04 BDT 2024","Mon Jan 29 11:08:17 BDT 2024","12948","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingSaveForLaterFeatureWithoutSignIn","verifyingSaveForLaterFeatureWithoutSignIn",""
"passed","Mon Jan 29 11:02:02 BDT 2024","Mon Jan 29 11:02:03 BDT 2024","1450","All Test Suite","Page Navigation Test","Test_Cases.Test_BusinessTab","Test_Cases.Test_BusinessTab","verifyingBusinessTabIsSelected","verifyingBusinessTabIsSelected",""
"passed","Mon Jan 29 11:05:12 BDT 2024","Mon Jan 29 11:05:18 BDT 2024","6081","All Test Suite","Functionality Test","Test_Cases.Test_FollowingPage","Test_Cases.Test_FollowingPage","validateFollowTopicFunctionalityWithOutSignIn","validateFollowTopicFunctionalityWithOutSignIn",""
"passed","Mon Jan 29 11:08:27 BDT 2024","Mon Jan 29 11:08:39 BDT 2024","12547","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingTheExistenceOfThreeDotMenuForEachNews","verifyingTheExistenceOfThreeDotMenuForEachNews",""
"passed","Mon Jan 29 11:02:46 BDT 2024","Mon Jan 29 11:02:47 BDT 2024","1369","All Test Suite","Page Navigation Test","Test_Cases.Test_RegionTab","Test_Cases.Test_RegionTab","verifyingRegionTabIsSelected","verifyingRegionTabIsSelected",""
"passed","Mon Jan 29 11:07:43 BDT 2024","Mon Jan 29 11:07:54 BDT 2024","10816","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingTheTabsName","verifyingTheTabsName",""
"passed","Mon Jan 29 11:08:51 BDT 2024","Mon Jan 29 11:09:02 BDT 2024","11143","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingThreeDotMenuOption","verifyingThreeDotMenuOption",""
"passed","Mon Jan 29 11:03:45 BDT 2024","Mon Jan 29 11:03:55 BDT 2024","9192","All Test Suite","Page Navigation Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingAppOpenedWithHeadlinesSection","verifyingAppOpenedWithHeadlinesSection",""
"passed","Mon Jan 29 11:06:54 BDT 2024","Mon Jan 29 11:07:12 BDT 2024","18228","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","validatingAddingSearchWordToFavouriteTopic","validatingAddingSearchWordToFavouriteTopic",""
"passed","Mon Jan 29 11:02:31 BDT 2024","Mon Jan 29 11:02:33 BDT 2024","1838","All Test Suite","Page Navigation Test","Test_Cases.Test_ForYouPage","Test_Cases.Test_ForYouPage","isForYouPageSelected","isForYouPageSelected",""
"passed","Mon Jan 29 11:04:49 BDT 2024","Mon Jan 29 11:04:56 BDT 2024","7100","All Test Suite","Functionality Test","Test_Cases.Test_RegionTab","Test_Cases.Test_RegionTab","verifyingRegionNameWithSettings","verifyingRegionNameWithSettings",""
"passed","Mon Jan 29 11:06:27 BDT 2024","Mon Jan 29 11:06:42 BDT 2024","14317","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingSearchSuggestionsContainKeyWord","verifyingSearchSuggestionsContainKeyWord",""
"passed","Mon Jan 29 11:05:47 BDT 2024","Mon Jan 29 11:05:52 BDT 2024","5452","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingPageTitle","verifyingPageTitle",""
"passed","Mon Jan 29 11:02:17 BDT 2024","Mon Jan 29 11:02:18 BDT 2024","1861","All Test Suite","Page Navigation Test","Test_Cases.Test_EntertainmentTab","Test_Cases.Test_EntertainmentTab","verifyingEntertainmentTabISSelected","verifyingEntertainmentTabISSelected",""
"passed","Mon Jan 29 11:04:30 BDT 2024","Mon Jan 29 11:04:31 BDT 2024","967","All Test Suite","Functionality Test","Test_Cases.Test_ForYouPage","Test_Cases.Test_ForYouPage","verificationOfSignInButtonWhenUserNotLoggedIn","verificationOfSignInButtonWhenUserNotLoggedIn",""
"passed","Mon Jan 29 11:07:23 BDT 2024","Mon Jan 29 11:07:34 BDT 2024","10398","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","validatingNumberOfTabs","validatingNumberOfTabs",""
"passed","Mon Jan 29 11:05:29 BDT 2024","Mon Jan 29 11:05:34 BDT 2024","5545","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingAppOpenedLatestTab","verifyingAppOpenedLatestTab",""
"passed","Mon Jan 29 11:06:04 BDT 2024","Mon Jan 29 11:06:17 BDT 2024","13897","All Test Suite","Functionality Test","Test_Cases.Test_homePage","Test_Cases.Test_homePage","verifyingSearchSuggestionFeature","verifyingSearchSuggestionFeature",""
"passed","Mon Jan 29 11:03:35 BDT 2024","Mon Jan 29 11:03:36 BDT 2024","1549","All Test Suite","Page Navigation Test","Test_Cases.Test_WorldTabPage","Test_Cases.Test_WorldTabPage","verifyingWorldTabIsSelected","verifyingWorldTabIsSelected",""
